city,date,min_temp,max_temp,weather,rp,rainfall
Kabul (Afghanistan),2025-06-12,18.72°C,33.34°C,맑음,0%,0mm
Kabul (Afghanistan),2025-06-13,18.2°C,28.84°C,실 비,100%,0.83mm
Kabul (Afghanistan),2025-06-14,17.85°C,30.23°C,실 비,100%,2.82mm
Kabul (Afghanistan),2025-06-15,17.57°C,26.15°C,실 비,100%,3.31mm
Kabul (Afghanistan),2025-06-16,17.5°C,26.57°C,실 비,100%,2.46mm
Kabul (Afghanistan),2025-06-17,19.64°C,32.81°C,맑음,0%,0mm
Kabul (Afghanistan),2025-06-18,21.55°C,34.8°C,맑음,0%,0mm
Tiranë (Tirana) (Albania),2025-06-12,21.6°C,33.92°C,맑음,0%,0mm
Tiranë (Tirana) (Albania),2025-06-13,21.81°C,32.77°C,맑음,16%,0mm
Tiranë (Tirana) (Albania),2025-06-14,21.26°C,33.16°C,맑음,0%,0mm
Tiranë (Tirana) (Albania),2025-06-15,19.73°C,31.98°C,맑음,0%,0mm
Tiranë (Tirana) (Albania),2025-06-16,19.08°C,30.75°C,맑음,0%,0mm
Tiranë (Tirana) (Albania),2025-06-17,20.41°C,33.49°C,튼구름,0%,0mm
Tiranë (Tirana) (Albania),2025-06-18,21.64°C,33.68°C,맑음,0%,0mm
El Djazaïr  (Algiers) (Algeria),2025-06-12,21.15°C,26.83°C,튼구름,0%,0mm
El Djazaïr  (Algiers) (Algeria),2025-06-13,24.04°C,29.59°C,실 비,38%,0.2mm
El Djazaïr  (Algiers) (Algeria),2025-06-14,25.52°C,29.86°C,구름조금,0%,0mm
El Djazaïr  (Algiers) (Algeria),2025-06-15,24.68°C,28.09°C,온흐림,0%,0mm
El Djazaïr  (Algiers) (Algeria),2025-06-16,22.32°C,27.32°C,튼구름,0%,0mm
El Djazaïr  (Algiers) (Algeria),2025-06-17,22.54°C,27.91°C,맑음,0%,0mm
El Djazaïr  (Algiers) (Algeria),2025-06-18,22.74°C,28.03°C,구름조금,0%,0mm
Pago Pago (American Samoa),2025-06-12,26.36°C,27.04°C,구름조금,0%,0mm
Pago Pago (American Samoa),2025-06-13,26.3°C,27.11°C,실 비,30%,0.13mm
Pago Pago (American Samoa),2025-06-14,26.57°C,27.2°C,실 비,47%,2.03mm
